Job Title,Digital Work,Routine Work,Cognitive/ Innovation Work,Interpersonal Work,Management Work,2 Digit NAICS Industy,Rp,Link,Pay,Education,Number of Jobs in 2022,Job Outlook,Employment Change 2022-32
Bus Cleaner,0.05,0.9,0.05,0.1,0,48,0.8636363636,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,"7,099,400",5% (Faster than average),"353,400"
Bus drivers,0.05,0.7,0.1,0.1,0.05,48,0.75,https://www.bls.gov/ooh/transportation-and-material-moving/bus-drivers.htm,44440,High school diploma or equivalent,"515,200",3% (As fast as average),"13,300"
Business Administration Professor,0.4,0.2,0.3,0.6,0.2,61,0.3529411765,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
Business Analyst,0.7,0.2,0.6,0.4,0.2,54,0.4285714286,https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,95290,Bachelor's degree,"987,600",10% (Much faster than average),"95,700"
Business Consultant,0.4,0.2,0.3,0.6,0.5,54,0.3,https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,95290,Bachelor's degree,"987,600",10% (Much faster than average),"95,700"
Business Intelligence Developer,0.9,0.3,0.6,0.2,0.1,54,0.5714285714,https://www.bls.gov/ooh/math/data-scientists.htm,103500,Bachelor's degree,"168,900",35% (Much faster than average),"59,400"
Business Management Analyst,0.7,0.1,0.5,0.4,0.3,54,0.4,https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,95290,Bachelor's degree,"987,600",10% (Much faster than average),"95,700"
Business Office Manager,0.4,0.3,0.2,0.4,0.6,54,0.3684210526,https://www.bls.gov/ooh/management/administrative-services-managers.htm,101870,Bachelor's degree,"377,800",5% (Faster than average),"19,900"
Business Process Consultant,0.7,0.1,0.6,0.4,0.2,54,0.4,https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,95290,Bachelor's degree,"987,600",10% (Much faster than average),"95,700"
Business Unit Manager,0.4,0.2,0.2,0.6,0.6,54,0.3,https://www.bls.gov/ooh/management/administrative-services-managers.htm,101870,Bachelor's degree,"377,800",5% (Faster than average),"19,900"
Bus Person,0.05,0.8,0.05,0.1,0,72,0.85,https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm,28130,No formal educational credential,"4,540,700",2% (As fast as average),"79,700"
Busser,0.05,0.8,0.05,0.1,0,72,0.85,https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm,28130,No formal educational credential,"4,540,700",2% (As fast as average),"79,700"
Bus Washer,0.05,0.9,0.05,0.1,0,48,0.8636363636,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,"7,099,400",5% (Faster than average),"353,400"
Butcher Apprentice,0.05,0.7,0.1,0.1,0.05,44,0.75,https://www.bls.gov/ooh/production/butchers-and-meat-cutters.htm,36930,No formal educational credential,"131,600",-1% (Little or no change),"-1,600"
Butcher,0.05,0.7,0.1,0.15,0.05,44,0.7142857143,https://www.bls.gov/ooh/production/butchers-and-meat-cutters.htm,36930,No formal educational credential,"131,600",-1% (Little or no change),"-1,600"
Butchers,0.05,0.8,0.05,0.1,0.05,44,0.8095238095,https://www.bls.gov/ooh/production/butchers-and-meat-cutters.htm,36930,No formal educational credential,"131,600",-1% (Little or no change),"-1,600"
Buzzsaw Operator,0.05,0.8,0.05,0.05,0.05,33,0.85,https://www.bls.gov/ooh/production/woodworkers.htm,37590,High school diploma or equivalent,"238,900",-1% (Little or no change),"-2,700"
C++ Professor,0.4,0.2,0.3,0.1,0,61,0.6,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
C-CYFSW,0.2,0.3,0.3,0.6,0.1,62,0.3333333333,https://www.bls.gov/ooh/community-and-social-service/social-workers.htm,55350,See How to Become One,"728,600",7% (Faster than average),"53,800"
C-SWHC,0.7,0.1,0.1,0.05,0.05,54,0.8,https://www.bls.gov/ooh/community-and-social-service/social-workers.htm,55350,See How to Become One,"728,600",7% (Faster than average),"53,800"
C.N.A.,0.1,0.6,0.1,0.2,0,62,0.7,https://www.bls.gov/ooh/healthcare/nursing-assistants.htm,35740,See How to Become One,"1,406,800",4% (As fast as average),"58,400"
Cab Driver,0.05,0.7,0.1,0.15,0,48,0.75,https://www.bls.gov/ooh/transportation-and-material-moving/taxi-drivers-and-chauffeurs.htm,32440,No formal educational credential,"395,700",14% (Much faster than average),"54,000"
Cabinet Builder,0.05,0.7,0.15,0.05,0.05,33,0.75,https://www.bls.gov/ooh/production/woodworkers.htm,37590,High school diploma or equivalent,"238,900",-1% (Little or no change),"-2,700"
Cabinet Finisher,0.05,0.6,0.2,0.1,0.05,33,0.65,https://www.bls.gov/ooh/production/woodworkers.htm,37590,High school diploma or equivalent,"238,900",-1% (Little or no change),"-2,700"
Cabinetmaker,0.05,0.6,0.25,0.05,0.05,33,0.65,https://www.bls.gov/ooh/production/woodworkers.htm,37590,High school diploma or equivalent,"238,900",-1% (Little or no change),"-2,700"
Cable Television Installer,0.2,0.6,0.1,0.1,0,51,0.8,https://www.bls.gov/ooh/installation-maintenance-and-repair/telecommunications-equipment-installers-and-repairers-except-line-installers.htm,60190,See How to Become One,"299,300",6% (Faster than average),"18,900"
Cadastral Mapper,0.7,0.2,0.1,0.05,0.05,54,0.8181818182,https://www.bls.gov/ooh/architecture-and-engineering/cartographers-and-photogrammetrists.htm,71890,Bachelor's degree,"14,000",5% (Faster than average),700
Cafe Server,0.1,0.7,0.05,0.15,0,72,0.8,https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm,28130,No formal educational credential,"4,540,700",2% (As fast as average),"79,700"
Cafeteria Cook,0.05,0.7,0.1,0.1,0.05,72,0.75,https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm,30910,See How to Become One,"2,729,300",6% (Faster than average),"175,300"
Cafeteria Director,0.2,0.3,0.2,0.2,0.1,72,0.5,https://www.bls.gov/ooh/management/food-service-managers.htm,61310,High school diploma or equivalent,"357,500",0% (Little or no change),"1,600"
Cafeteria Server,0.05,0.8,0.05,0.1,0,72,0.85,https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm,28130,No formal educational credential,"4,540,700",2% (As fast as average),"79,700"
Cage Cashier,0.2,0.6,0.1,0.1,0,71,0.8,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,"1,312,000",-4% (Decline),"-54,900"
Calculus Professor,0.3,0.2,0.4,0.1,0,61,0.5,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
Calibration Technician,0.3,0.4,0.2,0.05,0.05,54,0.7,https://www.bls.gov/ooh/installation-maintenance-and-repair/calibration-technologists-and-technicians.htm,62050,Associate's degree,"11,300",4% (As fast as average),500
Calibration Technologist,0.3,0.4,0.2,0.05,0.05,54,0.7,https://www.bls.gov/ooh/installation-maintenance-and-repair/calibration-technologists-and-technicians.htm,62050,Associate's degree,"11,300",4% (As fast as average),500
Calibration technologists and technicians,0.4,0.3,0.2,0.05,0.05,54,0.7,https://www.bls.gov/ooh/installation-maintenance-and-repair/calibration-technologists-and-technicians.htm,62050,Associate's degree,"11,300",4% (As fast as average),500
Calligrapher,0.2,0.6,0.2,0.1,0.05,71,0.6956521739,https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,53140,See How to Become One,"54,600",4% (As fast as average),"2,400"
Campaign Fundraiser,0.4,0.2,0.2,0.2,0.1,81,0.5454545455,https://www.bls.gov/ooh/business-and-financial/fundraisers.htm,61190,Bachelor's degree,"124,000",5% (Faster than average),"6,500"
Camp Cook,0.05,0.7,0.15,0.1,0,72,0.75,https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm,30910,See How to Become One,"2,729,300",6% (Faster than average),"175,300"
Camp Counselor,0.1,0.4,0.2,0.3,0.1,71,0.4545454545,https://www.bls.gov/ooh/personal-care-and-service/recreation-workers.htm,31680,High school diploma or equivalent,"289,400",5% (Faster than average),"13,400"
Campus Police Officer,0.1,0.4,0.2,0.3,0.05,61,0.4761904762,https://www.bls.gov/ooh/protective-service/police-and-detectives.htm,69160,See How to Become One,"808,700",3% (As fast as average),"23,800"
Cancer Registrar,0.7,0.2,0.05,0.05,0,62,0.9,https://www.bls.gov/ooh/healthcare/health-information-technologists-and-medical-registrars.htm,58250,Associate's degree,"37,900",16% (Much faster than average),"6,200"
Cancer Researcher,0.3,0.2,0.4,0.1,0,62,0.5,https://www.bls.gov/ooh/life-physical-and-social-science/medical-scientists.htm,99930,Doctoral or professional degree,"119,000",10% (Much faster than average),"11,600"
Candy Maker,0.05,0.6,0.2,0.1,0.05,33,0.65,https://www.bls.gov/ooh/production/food-and-tobacco-processing-workers.htm,36190,See How to Become One,"269,200",6% (Faster than average),"16,400"
Candy Puller,0.05,0.7,0.1,0.15,0,33,0.75,https://www.bls.gov/ooh/production/food-and-tobacco-processing-workers.htm,36190,See How to Become One,"269,200",6% (Faster than average),"16,400"
Cane Cutter,0,0.9,0.05,0.05,0,11,0.9,https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm,33290,See How to Become One,"804,600",-2% (Decline),"-16,000"
Cane Flume Chute Operator,0.05,0.7,0.1,0.05,0.1,11,0.75,https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm,33290,See How to Become One,"804,600",-2% (Decline),"-16,000"
Car Alarm Installer,0.1,0.7,0.1,0.1,0,81,0.8,https://www.bls.gov/ooh/installation-maintenance-and-repair/electrical-and-electronics-installers-and-repairers.htm,64190,See How to Become One,"113,300",-2% (Decline),"-2,100"
Car Body Designer,0.4,0.2,0.3,0.05,0.05,33,0.6,https://www.bls.gov/ooh/arts-and-design/industrial-designers.htm,75910,Bachelor's degree,"32,400",2% (As fast as average),700
Carburizing Furnace Operator,0.05,0.7,0.15,0.05,0.05,33,0.75,https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm,41060,See How to Become One,"1,048,200",-6% (Decline),"-67,200"
Cardiac/Vascular Sonographer,0.2,0.4,0.2,0.15,0.05,62,0.6,https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm,78210,Associate's degree,"142,800",10% (Much faster than average),"14,200"
Cardiac Catheterization Laboratory Technologist,0.3,0.4,0.2,0.1,0,62,0.7,https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm,78210,Associate's degree,"142,800",10% (Much faster than average),"14,200"
Cardiac Catheterization Technologist,0.3,0.4,0.2,0.1,0,62,0.7,https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm,78210,Associate's degree,"142,800",10% (Much faster than average),"14,200"
Cardiac Monitor Technician,0.4,0.4,0.1,0.1,0,62,0.8,https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm,78210,Associate's degree,"142,800",10% (Much faster than average),"14,200"
Cardiac Surgeon,0.05,0.3,0.5,0.1,0.05,62,0.35,https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,229300,Doctoral or professional degree,"816,900",3% (As fast as average),"24,600"
Cardiac Technician,0.3,0.4,0.2,0.1,0,62,0.7,https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm,78210,Associate's degree,"142,800",10% (Much faster than average),"14,200"
Cardiology Nurse Practitioner,0.2,0.3,0.3,0.2,0,62,0.5,https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,125900,Master's degree,"323,900",38% (Much faster than average),"123,600"
Cardiopulmonary Physical Therapist,0.1,0.3,0.4,0.2,0,62,0.4,https://www.bls.gov/ooh/healthcare/physical-therapists.htm,97720,Doctoral or professional degree,"246,800",15% (Much faster than average),"37,300"
Cardiopulmonary Technologist,0.2,0.4,0.2,0.2,0,62,0.6,https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm,78210,Associate's degree,"142,800",10% (Much faster than average),"14,200"
Cardiovascular Interventional Technologist,0.2,0.4,0.2,0.15,0.05,62,0.6,https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm,78210,Associate's degree,"142,800",10% (Much faster than average),"14,200"
Cardiovascular Surgeon,0.05,0.2,0.5,0.2,0.05,62,0.25,https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,229300,Doctoral or professional degree,"816,900",3% (As fast as average),"24,600"
Cardiovascular Technologist,0.3,0.4,0.2,0.1,0,62,0.7,https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm,78210,Associate's degree,"142,800",10% (Much faster than average),"14,200"
Cardroom Manager,0.2,0.3,0.2,0.2,0.1,71,0.5,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,31290,High school diploma or equivalent,"132,100",1% (Little or no change),"1,700"
Cardroom Supervisor,0.1,0.4,0.2,0.2,0.1,71,0.5,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,31290,High school diploma or equivalent,"132,100",1% (Little or no change),"1,700"
Card Table Attendant,0.05,0.7,0.1,0.15,0,71,0.75,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,31290,High school diploma or equivalent,"132,100",1% (Little or no change),"1,700"
Career and technical education teachers,0.3,0.2,0.25,0.2,0.05,61,0.5,https://www.bls.gov/ooh/education-training-and-library/career-and-technical-education-teachers.htm,61450,Bachelor's degree,"212,100",0% (Little or no change),-800
Career Counselor,0.3,0.2,0.3,0.2,0.1,61,0.4545454545,https://www.bls.gov/ooh/community-and-social-service/school-and-career-counselors.htm,60140,Master's degree,"342,400",5% (Faster than average),"18,400"
Career Technical Counselor,0.4,0.2,0.2,0.2,0,61,0.6,https://www.bls.gov/ooh/community-and-social-service/school-and-career-counselors.htm,60140,Master's degree,"342,400",5% (Faster than average),"18,400"
Car Ferry Captain,0.1,0.4,0.2,0.2,0.1,48,0.5,https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm,66100,See How to Become One,"83,200",2% (As fast as average),"1,500"
Car Ferry Master,0.1,0.4,0.2,0.2,0.1,48,0.5,https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm,66100,See How to Become One,"83,200",2% (As fast as average),"1,500"
Cargo Handler,0.1,0.7,0.05,0.15,0,48,0.8,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,"7,099,400",5% (Faster than average),"353,400"
Caricature Artist,0.4,0.3,0.6,0.7,0.1,71,0.3333333333,https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,53140,See How to Become One,"54,600",4% (As fast as average),"2,400"
Carpenter Assistant,0.05,0.7,0.1,0.1,0.05,23,0.75,https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,39520,See How to Become One,"1,624,800",4% (As fast as average),"57,900"
Carpenter Helper,0.05,0.7,0.1,0.15,0,23,0.75,https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,39520,See How to Become One,"1,624,800",4% (As fast as average),"57,900"
Carpenters,0.05,0.7,0.15,0.05,0.05,23,0.75,https://www.bls.gov/ooh/construction-and-extraction/carpenters.htm,51390,High school diploma or equivalent,"956,300",1% (Little or no change),"8,600"
Carpentry Instructor,0.1,0.3,0.2,0.3,0.1,61,0.4,https://www.bls.gov/ooh/education-training-and-library/career-and-technical-education-teachers.htm,61450,Bachelor's degree,"212,100",0% (Little or no change),-800
Carpet Layer,0.05,0.7,0.1,0.1,0.05,23,0.75,https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,47890,No formal educational credential,"120,900",3% (As fast as average),"3,500"
Carpet Layer Helper,0.05,0.7,0.1,0.15,0,23,0.75,https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,39520,See How to Become One,"1,624,800",4% (As fast as average),"57,900"
Car Refinisher,0.05,0.7,0.15,0.05,0.05,81,0.75,https://www.bls.gov/ooh/installation-maintenance-and-repair/automotive-body-and-glass-repairers.htm,47270,High school diploma or equivalent,"175,200",1% (Little or no change),"2,300"
Carrot Harvester,0.05,0.8,0.05,0.05,0.05,11,0.85,https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm,33290,See How to Become One,"804,600",-2% (Decline),"-16,000"
Car Stereo Installer,0.1,0.7,0.1,0.1,0,44,0.8,https://www.bls.gov/ooh/installation-maintenance-and-repair/electrical-and-electronics-installers-and-repairers.htm,64190,See How to Become One,"113,300",-2% (Decline),"-2,100"
Cartographers and photogrammetrists,0.7,0.2,0.7,0.2,0.1,54,0.4736842105,https://www.bls.gov/ooh/architecture-and-engineering/cartographers-and-photogrammetrists.htm,71890,Bachelor's degree,"14,000",5% (Faster than average),700
Cartographic Aide,0.6,0.2,0.15,0.05,0,54,0.8,https://www.bls.gov/ooh/architecture-and-engineering/surveying-and-mapping-technicians.htm,47180,High school diploma or equivalent,"64,200",3% (As fast as average),"2,100"
Cartographic Technician,0.7,0.2,0.1,0.05,0.05,54,0.8181818182,https://www.bls.gov/ooh/architecture-and-engineering/surveying-and-mapping-technicians.htm,47180,High school diploma or equivalent,"64,200",3% (As fast as average),"2,100"
Cartography Professor,0.4,0.2,0.3,0.1,0,61,0.6,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
Carton Wrapper,0.05,0.85,0.05,0.05,0,33,0.9,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,"7,099,400",5% (Faster than average),"353,400"
Cart Pusher,0.05,0.9,0.05,0.1,0,44,0.8636363636,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,"7,099,400",5% (Faster than average),"353,400"
Car Wash Attendant,0.05,0.7,0.05,0.2,0,81,0.75,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,"7,099,400",5% (Faster than average),"353,400"
Car Washer,0.05,0.85,0.05,0.05,0,81,0.9,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,"7,099,400",5% (Faster than average),"353,400"
Case Work Aide,0.2,0.4,0.2,0.2,0,62,0.6,https://www.bls.gov/ooh/community-and-social-service/social-and-human-service-assistants.htm,38520,High school diploma or equivalent,"415,100",9% (Much faster than average),"35,600"
Cashiers,0.1,0.7,0.05,0.15,0,44,0.8,https://www.bls.gov/ooh/sales/cashiers.htm,28240,No formal educational credential,"3,345,800",-10% (Decline),"-348,100"
Cash Register Operator,0.1,0.8,0.05,0.05,0,44,0.9,https://www.bls.gov/ooh/sales/cashiers.htm,28240,No formal educational credential,"3,345,800",-10% (Decline),"-348,100"
Casino Cage Cashier,0.2,0.6,0.1,0.1,0,71,0.8,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,"1,312,000",-4% (Decline),"-54,900"
Casino Cashier,0.3,0.6,0.05,0.4,0.05,71,0.6428571429,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,"1,312,000",-4% (Decline),"-54,900"
Casino Dealer,0.05,0.7,0.1,0.15,0,71,0.75,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,31290,High school diploma or equivalent,"132,100",1% (Little or no change),"1,700"
Casino Floor Runner,0.1,0.7,0.1,0.6,0.05,71,0.5161290323,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,31290,High school diploma or equivalent,"132,100",1% (Little or no change),"1,700"
Casino Games Dealer,0.05,0.7,0.1,0.15,0,71,0.75,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,31290,High school diploma or equivalent,"132,100",1% (Little or no change),"1,700"
Casino Investigator,0.3,0.4,0.2,0.1,0,71,0.7,https://www.bls.gov/ooh/protective-service/security-guards.htm,34770,High school diploma or equivalent,"1,166,700",-1% (Little or no change),"-14,800"
Casino Manager,0.3,0.2,0.2,0.2,0.1,71,0.5,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,31290,High school diploma or equivalent,"132,100",1% (Little or no change),"1,700"
Casino Slot Supervisor,0.2,0.4,0.2,0.6,0.4,71,0.3333333333,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,31290,High school diploma or equivalent,"132,100",1% (Little or no change),"1,700"
Casino Supervisor,0.2,0.4,0.2,0.6,0.4,71,0.3333333333,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,31290,High school diploma or equivalent,"132,100",1% (Little or no change),"1,700"
Casino Surveillance Officer,0.4,0.4,0.1,0.1,0,71,0.8,https://www.bls.gov/ooh/protective-service/security-guards.htm,34770,High school diploma or equivalent,"1,166,700",-1% (Little or no change),"-14,800"
Casting Director,0.2,0.1,0.3,0.3,0.1,71,0.3,https://www.bls.gov/ooh/entertainment-and-sports/producers-and-directors.htm,85320,Bachelor's degree,"175,300",7% (Faster than average),"11,700"
Cataloging Library Technical Assistant,0.6,0.3,0.05,0.05,0,51,0.9,https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm,35280,See How to Become One,"161,500",-6% (Decline),"-9,600"
Catalog Librarian,0.6,0.3,0.4,0.2,0.1,51,0.5625,https://www.bls.gov/ooh/education-training-and-library/librarians.htm,61660,Master's degree,"141,200",3% (As fast as average),"4,300"
Catalogue Clerk,0.7,0.6,0.2,0.1,0.05,44,0.7878787879,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,38710,See How to Become One,"1,382,600",-4% (Decline),"-54,000"
Cat and Dog Bather,0.05,0.7,0.05,0.2,0,81,0.75,https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,29790,High school diploma or equivalent,"393,100",16% (Much faster than average),"61,200"
Cat Breeder,0.1,0.4,0.2,0.2,0.1,11,0.5,https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm,33290,See How to Become One,"804,600",-2% (Decline),"-16,000"
Cattle Brander,0.05,0.7,0.1,0.15,0,11,0.75,https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm,33290,See How to Become One,"804,600",-2% (Decline),"-16,000"
Cattle Buyer,0.1,0.4,0.2,0.2,0.1,11,0.5,https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,75120,Bachelor's degree,"571,900",-6% (Decline),"-34,600"
Cattle Driver,0.05,0.6,0.1,0.15,0.1,11,0.65,https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm,33290,See How to Become One,"804,600",-2% (Decline),"-16,000"
CCU Nurse,0.1,0.4,0.3,0.2,0,62,0.5,https://www.bls.gov/ooh/healthcare/registered-nurses.htm,81220,Bachelor's degree,"3,172,500",6% (Faster than average),"177,400"
Ceiling Insulation Blower,0.05,0.7,0.1,0.1,0.05,23,0.75,https://www.bls.gov/ooh/construction-and-extraction/insulation-workers.htm,47980,See How to Become One,"61,600",2% (As fast as average),"1,000"
Cellist,0.05,0.6,0.3,0.05,0,71,0.65,https://www.bls.gov/ooh/entertainment-and-sports/musicians-and-singers.htm,,No formal educational credential,"173,500",1% (Little or no change),"2,100"
Cellulose Insulation Helper,0.05,0.7,0.1,0.1,0.05,23,0.75,https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,39520,See How to Become One,"1,624,800",4% (As fast as average),"57,900"
Cement Mason,0.05,0.7,0.1,0.1,0.05,23,0.75,https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,49490,See How to Become One,"294,200",-3% (Decline),"-8,900"
Cement Patcher,0.05,0.7,0.1,0.1,0.05,23,0.75,https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,49490,See How to Become One,"294,200",-3% (Decline),"-8,900"
Cement Truck Driver,0.05,0.7,0.1,0.1,0.05,23,0.75,https://www.bls.gov/ooh/transportation-and-material-moving/heavy-and-tractor-trailer-truck-drivers.htm,49920,Postsecondary nondegree award,"2,192,300",4% (As fast as average),"89,300"
Census Clerk,0.7,0.6,0.3,0.2,0.1,92,0.6842105263,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,38710,See How to Become One,"1,382,600",-4% (Decline),"-54,000"
Census Taker,0.2,0.6,0.1,0.1,0,92,0.8,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,38710,See How to Become One,"1,382,600",-4% (Decline),"-54,000"
CEO,0.4,0.05,0.25,0.2,0.1,55,0.45,https://www.bls.gov/ooh/management/top-executives.htm,100090,Bachelor's degree,"3,787,800",3% (As fast as average),"124,200"
Ceramic Designer,0.2,0.3,0.4,0.1,0,33,0.5,https://www.bls.gov/ooh/arts-and-design/industrial-designers.htm,75910,Bachelor's degree,"32,400",2% (As fast as average),700
Ceramic Engineer,0.2,0.3,0.3,0.1,0.1,33,0.5,https://www.bls.gov/ooh/architecture-and-engineering/materials-engineers.htm,100140,Bachelor's degree,"22,300",5% (Faster than average),"1,100"
Ceramic Engineering Professor,0.2,0.1,0.4,0.2,0.1,61,0.3,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
Ceramic Mold Designer,0.3,0.4,0.2,0.05,0.05,33,0.7,https://www.bls.gov/ooh/arts-and-design/industrial-designers.htm,75910,Bachelor's degree,"32,400",2% (As fast as average),700
Ceramic Painter,0.05,0.6,0.3,0.05,0,33,0.65,https://www.bls.gov/ooh/production/painting-and-coating-workers.htm,43370,See How to Become One,"185,900",1% (Little or no change),"1,000"
Ceramic Tile Installation Helper,0.05,0.7,0.1,0.15,0,23,0.75,https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,39520,See How to Become One,"1,624,800",4% (As fast as average),"57,900"
Ceramic Tile Installer,0.05,0.7,0.15,0.1,0.05,23,0.7142857143,https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,47890,No formal educational credential,"120,900",3% (As fast as average),"3,500"
Certified Abuse and Drug Addiction Counselor,0.1,0.2,0.4,0.3,0.1,62,0.2727272727,https://www.bls.gov/ooh/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm,49710,Bachelor's degree,"388,200",18% (Much faster than average),"71,500"
Certified Alcohol and Drug Counselor,0.2,0.3,0.3,0.7,0.1,62,0.3125,https://www.bls.gov/ooh/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm,49710,Bachelor's degree,"388,200",18% (Much faster than average),"71,500"
Certified Athletic Trainer,0.1,0.3,0.2,0.4,0.1,61,0.3636363636,https://www.bls.gov/ooh/healthcare/athletic-trainers.htm,53840,Master's degree,"33,800",14% (Much faster than average),"4,800"
Certified Biomedical Equipment Technician,0.3,0.4,0.2,0.05,0.05,62,0.7,https://www.bls.gov/ooh/installation-maintenance-and-repair/medical-equipment-repairers.htm,57860,Associate's degree,"66,400",13% (Much faster than average),"8,800"
"Certified Children, Youth, and Family Social Worker",0.2,0.3,0.25,0.6,0.1,62,0.3448275862,https://www.bls.gov/ooh/community-and-social-service/social-workers.htm,55350,See How to Become One,"728,600",7% (Faster than average),"53,800"
Certified Corporate Travel Executive,0.4,0.2,0.2,0.1,0.1,56,0.6,https://www.bls.gov/ooh/sales/travel-agents.htm,46400,High school diploma or equivalent,"66,300",3% (As fast as average),"2,300"
