Job Title,Digital Work,Routine Work,Cognitive/ Innovation Work,Interpersonal Work,Management Work,Education Level,2 Digit NAICS Industy,Rp,Pay,Education,Number of Jobs in 2022,Job Outlook,Employment Change 2022-32,URL
Electric Motor Controls Assembler,0.1,0.6,0.2,0.05,0.05,Highschool,33,0.7,47910,Associate's degree,"8,500",-13% (Decline),"-1,100",https://www.bls.gov/ooh/office-and-administrative-support/desktop-publishers.htm
Electric Motor Fitter,0.1,0.6,0.2,0.1,0,Highschool,33,0.7,47910,Associate's degree,"8,500",-13% (Decline),"-1,100",https://www.bls.gov/ooh/office-and-administrative-support/desktop-publishers.htm
Electric Motor Rewinder,0.1,0.6,0.2,0.05,0.05,Professional Certificate,33,0.7,49610,High school diploma or equivalent,"395,700",-7% (Decline),"-29,000",https://www.bls.gov/ooh/protective-service/correctional-officers.htm
Electric Powerline Examiner,0.1,0.4,0.3,0.1,0.1,Associates,22,0.5,49610,High school diploma or equivalent,"395,700",-7% (Decline),"-29,000",https://www.bls.gov/ooh/protective-service/correctional-officers.htm
Electric Sign Assembler,0.1,0.6,0.2,0.05,0.05,Highschool,33,0.7,85330,See How to Become One,"196,000",6% (Faster than average),"12,000",https://www.bls.gov/ooh/life-physical-and-social-science/psychologists.htm
Electric Utility Lineworker,0.1,0.6,0.2,0.1,0.05,Professional Certificate,22,0.6666666667,85330,See How to Become One,"196,000",6% (Faster than average),"12,000",https://www.bls.gov/ooh/life-physical-and-social-science/psychologists.htm
Electric Wheelchair Repairer,0.1,0.6,0.2,0.1,0,Professional Certificate,81,0.7,87480,Bachelor's degree,"26,300",5% (Faster than average),"1,300",https://www.bls.gov/ooh/life-physical-and-social-science/geoscientists.htm
Electro-mechanical and mechatronics technologists and technicians,0.4,0.3,0.2,0.05,0.05,Associates,33,0.7,59990,Bachelor's degree,"60,400",7% (Faster than average),"4,400",https://www.bls.gov/ooh/community-and-social-service/health-educators.htm
Electrocardiogram Technician,0.3,0.5,0.1,0.1,0,Professional Certificate,62,0.8,229300,Doctoral or professional degree,"816,900",3% (As fast as average),"24,600",https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm
Electrocardiograph Operator,0.3,0.5,0.1,0.1,0,Professional Certificate,62,0.8,99550,Bachelor's degree,"19,700",5% (Faster than average),"1,000",https://www.bls.gov/ooh/architecture-and-engineering/biomedical-engineers.htm
Electrogalvanizing Machine Operator,0.1,0.7,0.1,0.05,0.05,Highschool,33,0.8,47140,High school diploma or equivalent,"47,200",-3% (Decline),"-1,400",https://www.bls.gov/ooh/production/jewelers-and-precious-stone-and-metal-workers.htm
Electrolysis Needle Operator,0.1,0.7,0.1,0.1,0,Professional Certificate,81,0.8,47140,High school diploma or equivalent,"47,200",-3% (Decline),"-1,400",https://www.bls.gov/ooh/production/jewelers-and-precious-stone-and-metal-workers.htm
Electrolysis Operator,0.1,0.6,0.2,0.05,0.05,Highschool,32,0.7,47140,High school diploma or equivalent,"47,200",-3% (Decline),"-1,400",https://www.bls.gov/ooh/production/jewelers-and-precious-stone-and-metal-workers.htm
Electrolysist,0.1,0.6,0.2,0.05,0.05,Professional Certificate,81,0.7,47140,High school diploma or equivalent,"47,200",-3% (Decline),"-1,400",https://www.bls.gov/ooh/production/jewelers-and-precious-stone-and-metal-workers.htm
Electromechanical Assembler,0.2,0.6,0.1,0.05,0.05,Highschool,33,0.8,60400,Associate's degree,"197,300",-2% (Decline),"-4,300",https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm
Electromedical Equipment Technician,0.3,0.4,0.2,0.05,0.05,Associates,62,0.7,54360,High school diploma or equivalent,"291,600",1% (Little or no change),"2,500",https://www.bls.gov/ooh/installation-maintenance-and-repair/diesel-service-technicians-and-mechanics.htm
Electron Beam Welder Setter,0.1,0.6,0.2,0.05,0.05,Professional Certificate,33,0.7,68960,High school diploma or equivalent,"78,600",1% (Little or no change),800,https://www.bls.gov/ooh/transportation-and-material-moving/railroad-occupations.htm
Electronic Assembler,0.2,0.6,0.1,0.05,0.05,Highschool,33,0.8,51050,High school diploma or equivalent,"483,300",3% (As fast as average),"13,300",https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm
Electronic Console Display Operator,0.8,0.6,0.2,0.1,0.05,Associates,51,0.8,54360,High school diploma or equivalent,"291,600",1% (Little or no change),"2,500",https://www.bls.gov/ooh/installation-maintenance-and-repair/diesel-service-technicians-and-mechanics.htm
Electronic Design Automation Engineer,0.8,0.1,0.7,0.2,0.1,Masters,54,0.4736842105,66450,Bachelor's degree,"78,600",7% (Faster than average),"5,200",https://www.bls.gov/ooh/healthcare/dietitians-and-nutritionists.htm
Electronic Drafter,0.9,0.6,0.3,0.1,0.05,Associates,54,0.7692307692,53420,See How to Become One,"37,700",10% (Much faster than average),"3,700",https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm
Electronic Engineer,0.7,0.2,0.6,0.3,0.2,Bachelors,54,0.45,71890,Bachelor's degree,"14,000",5% (Faster than average),700,https://www.bls.gov/ooh/architecture-and-engineering/cartographers-and-photogrammetrists.htm
Electronic Gambling Device Supervisor,0.4,0.3,0.1,0.1,0.1,Associates,71,0.7,80730,Bachelor's degree,"216,700",16% (Much faster than average),"34,700",https://www.bls.gov/ooh/computer-and-information-technology/web-developers.htm
Electronic Imager,0.8,0.1,0.05,0.02,0.03,Associates,51,0.9,80730,Bachelor's degree,"216,700",16% (Much faster than average),"34,700",https://www.bls.gov/ooh/computer-and-information-technology/web-developers.htm
Electronic Instrument Testing Technician,0.4,0.3,0.2,0.05,0.05,Associates,54,0.7,37930,High school diploma or equivalent,"1,961,900",-6% (Decline),"-125,700",https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm
Electronic News Gathering Camera Operator,0.4,0.3,0.2,0.1,0,Associates,51,0.7,53960,See How to Become One,"142,800",2% (As fast as average),"2,500",https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm
Electronic News Gathering Editor,0.7,0.1,0.1,0.05,0.05,Bachelors,51,0.8,29120,No formal educational credential,"2,194,100",-3% (Decline),"-68,600",https://www.bls.gov/ooh/food-preparation-and-serving/waiters-and-waitresses.htm
Electronic Pagination System Operator,0.9,0.7,0.2,0.1,0.05,Associates,51,0.8205128205,28130,No formal educational credential,"4,540,700",2% (As fast as average),"79,700",https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm
Electronic Parts Designer,0.7,0.1,0.15,0.02,0.03,Bachelors,33,0.8,28130,No formal educational credential,"4,540,700",2% (As fast as average),"79,700",https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm
Electronic Parts Salesperson,0.3,0.4,0.1,0.2,0,Highschool,44,0.7,68960,High school diploma or equivalent,"78,600",1% (Little or no change),800,https://www.bls.gov/ooh/transportation-and-material-moving/railroad-occupations.htm
Electronic Publisher,0.8,0.1,0.4,0.2,0.1,Bachelors,51,0.5625,68960,High school diploma or equivalent,"78,600",1% (Little or no change),800,https://www.bls.gov/ooh/transportation-and-material-moving/railroad-occupations.htm
Electronic Publishing Specialist,0.8,0.4,0.4,0.2,0.1,Bachelors,51,0.6315789474,68960,High school diploma or equivalent,"78,600",1% (Little or no change),800,https://www.bls.gov/ooh/transportation-and-material-moving/railroad-occupations.htm
Electronic Resources Librarian,0.7,0.1,0.1,0.05,0.05,Masters,51,0.8,53640,Bachelor's degree,"68,700",4% (As fast as average),"3,000",https://www.bls.gov/ooh/media-and-communication/interpreters-and-translators.htm
Electronics Engineering Professor,0.3,0.1,0.4,0.15,0.05,PhD,61,0.4,79180,Bachelor's degree,"11,800",3% (As fast as average),400,https://www.bls.gov/ooh/management/emergency-management-directors.htm
Electronic Sensing Equipment Assembler,0.3,0.5,0.1,0.05,0.05,Highschool,33,0.8,79180,Bachelor's degree,"11,800",3% (As fast as average),400,https://www.bls.gov/ooh/management/emergency-management-directors.htm
Electronics Technology Instructor,0.4,0.2,0.2,0.15,0.05,Bachelors,61,0.6,75120,Bachelor's degree,"571,900",-6% (Decline),"-34,600",https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm
Electronic Wirer,0.1,0.7,0.1,0.05,0.05,Highschool,33,0.8,99940,Master's degree,"218,200",4% (As fast as average),"7,700",https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm
Electrophysiology Cardiologist,0.2,0.2,0.4,0.2,0,Doctorate,62,0.4,101870,Bachelor's degree,"377,800",5% (Faster than average),"19,900",https://www.bls.gov/ooh/management/administrative-services-managers.htm
Electrophysiology Nurse Practitioner,0.2,0.3,0.3,0.2,0,Professional Certificate,62,0.5,229300,Doctoral or professional degree,"816,900",3% (As fast as average),"24,600",https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm
Electroplater,0.1,0.6,0.2,0.05,0.05,Highschool,33,0.7,79180,Bachelor's degree,"11,800",3% (As fast as average),400,https://www.bls.gov/ooh/management/emergency-management-directors.htm
Electro Plater,0.1,0.6,0.2,0.05,0.05,Highschool,33,0.7,,See How to Become One,"18,400",5% (Faster than average),"1,000",https://www.bls.gov/ooh/entertainment-and-sports/dancers-and-choreographers.htm
Electroplating Sales Representative,0.2,0.3,0.2,0.25,0.05,Bachelors,33,0.5,53960,See How to Become One,"142,800",2% (As fast as average),"2,500",https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm
Electrostatic Paint Operator,0.05,0.7,0.1,0.05,0.1,Highschool,33,0.75,82680,Doctoral or professional degree,"14,400",11% (Much faster than average),"1,500",https://www.bls.gov/ooh/healthcare/audiologists.htm
"Elementary, middle, and high school principals",0.3,0.2,0.25,0.4,0.6,Masters,61,0.2857142857,58450,High school diploma or equivalent,"111,400",-7% (Decline),"-8,000",https://www.bls.gov/ooh/sales/advertising-sales-agents.htm
Elementary Learning Support Aide,0.1,0.4,0.2,0.3,0,Associates,61,0.5,135740,Doctoral or professional degree,"826,300",8% (Faster than average),"62,400",https://www.bls.gov/ooh/legal/lawyers.htm
Elementary School Inclusion Teacher,0.1,0.3,0.3,0.3,0.1,Bachelors,61,0.3636363636,128610,Doctoral or professional degree,"42,800",2% (As fast as average),800,https://www.bls.gov/ooh/legal/judges-and-hearing-officers.htm
Elementary School Music Teacher,0.1,0.4,0.2,0.3,0,Bachelors,61,0.5,130600,Bachelor's degree,"554,700",4% (As fast as average),"22,500",https://www.bls.gov/ooh/management/sales-managers.htm
Elementary School Principal,0.3,0.2,0.25,0.4,0.6,Masters,61,0.2857142857,130600,Bachelor's degree,"554,700",4% (As fast as average),"22,500",https://www.bls.gov/ooh/management/sales-managers.htm
Elementary School Reading Aide,0.1,0.4,0.3,0.2,0,Associates,61,0.5,51050,High school diploma or equivalent,"483,300",3% (As fast as average),"13,300",https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm
Elementary School Teacher,0.2,0.3,0.25,0.2,0.05,Bachelors,61,0.5,45570,High school diploma or equivalent,"1,312,000",-4% (Decline),"-54,900",https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm
Elevator Adjuster,0.1,0.4,0.3,0.1,0.1,Professional Certificate,23,0.5,36010,High school diploma or equivalent,"20,400",10% (Much faster than average),"2,000",https://www.bls.gov/ooh/entertainment-and-sports/umpires-referees-and-other-sports-officials.htm
Elevator and escalator installers and repairers,0.1,0.6,0.2,0.1,0.05,Professional Certificate,23,0.6666666667,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
Elevator Constructor,0.05,0.6,0.2,0.1,0.05,Professional Certificate,23,0.65,,See How to Become One,"51,800",-4% (Decline),"-2,200",https://www.bls.gov/ooh/media-and-communication/announcers.htm
Elevator Inspector,0.2,0.4,0.3,0.1,0,Professional Certificate,81,0.6,125900,Master's degree,"323,900",38% (Much faster than average),"123,600",https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm
Elevator Installer,0.05,0.6,0.2,0.1,0.05,Professional Certificate,23,0.65,38710,See How to Become One,"1,382,600",-4% (Decline),"-54,000",https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm
Elevator Mechanic,0.1,0.6,0.2,0.05,0.05,Professional Certificate,23,0.7,66100,See How to Become One,"83,200",2% (As fast as average),"1,500",https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm
Elevator Repair and Maintenance Technician,0.1,0.6,0.2,0.05,0.05,Professional Certificate,81,0.7,125900,Master's degree,"323,900",38% (Much faster than average),"123,600",https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm
Elevator Service Technician,0.1,0.6,0.2,0.1,0,Professional Certificate,81,0.7,125590,Doctoral or professional degree,"43,400",9% (Much faster than average),"3,800",https://www.bls.gov/ooh/healthcare/optometrists.htm
Elocutionist,0.1,0.2,0.4,0.3,0,Bachelors,61,0.3,125590,Doctoral or professional degree,"43,400",9% (Much faster than average),"3,800",https://www.bls.gov/ooh/healthcare/optometrists.htm
Embedded Systems Software Developer,0.9,0.3,0.6,0.1,0.05,Bachelors,54,0.6153846154,148720,Doctoral or professional degree,"10,600",1% (Little or no change),100,https://www.bls.gov/ooh/healthcare/podiatrists.htm
Embryology Professor,0.2,0.1,0.5,0.15,0.05,PhD,61,0.3,103260,Doctoral or professional degree,"89,500",20% (Much faster than average),"17,700",https://www.bls.gov/ooh/healthcare/veterinarians.htm
Emergency Communications Dispatcher,0.4,0.3,0.2,0.1,0,Highschool,92,0.7,103260,Doctoral or professional degree,"89,500",20% (Much faster than average),"17,700",https://www.bls.gov/ooh/healthcare/veterinarians.htm
Emergency Communications Operator,0.4,0.3,0.1,0.2,0,Highschool,92,0.7,79960,Bachelor's degree,"53,300",7% (Faster than average),"3,700",https://www.bls.gov/ooh/media-and-communication/technical-writers.htm
Emergency management directors,0.3,0.2,0.3,0.2,0.7,Bachelors,92,0.2941176471,38710,See How to Become One,"1,382,600",-4% (Decline),"-54,000",https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm
Emergency Management System Director,0.3,0.1,0.3,0.2,0.1,Masters,92,0.4,34960,See How to Become One,"7,099,400",5% (Faster than average),"353,400",https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm
Emergency Medical Service Coordinator,0.2,0.3,0.2,0.2,0.1,Associates,62,0.5,29790,High school diploma or equivalent,"393,100",16% (Much faster than average),"61,200",https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm
Emergency Medical Service Helicopter Pilot,0.1,0.4,0.3,0.2,0,Professional Certificate,62,0.5,29790,High school diploma or equivalent,"393,100",16% (Much faster than average),"61,200",https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm
Emergency Medical Service Rotary Wing Pilot,0.1,0.4,0.3,0.2,0,Professional Certificate,62,0.5,33290,See How to Become One,"804,600",-2% (Decline),"-16,000",https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm
Emergency Medicine Nurse Practitioner,0.2,0.3,0.3,0.2,0,Masters,62,0.5,29790,High school diploma or equivalent,"393,100",16% (Much faster than average),"61,200",https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm
Emergency Medicine Specialist,0.1,0.3,0.4,0.2,0.05,Doctorate,62,0.380952381,29790,High school diploma or equivalent,"393,100",16% (Much faster than average),"61,200",https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm
Emergency Operator,0.3,0.4,0.1,0.2,0,Highschool,92,0.7,38710,See How to Become One,"1,382,600",-4% (Decline),"-54,000",https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm
Emergency Planner,0.3,0.2,0.3,0.15,0.05,Bachelors,92,0.5,29790,High school diploma or equivalent,"393,100",16% (Much faster than average),"61,200",https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm
Emergency Planning and Response Manager,0.4,0.2,0.3,0.6,0.5,Bachelors,92,0.3,29790,High school diploma or equivalent,"393,100",16% (Much faster than average),"61,200",https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm
Emergency Preparedness Coordinator,0.4,0.2,0.2,0.2,0.3,Bachelors,92,0.4615384615,37930,High school diploma or equivalent,"1,961,900",-6% (Decline),"-125,700",https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm
Emergency Room Orderly,0.1,0.6,0.1,0.2,0,Highschool,62,0.7,29790,High school diploma or equivalent,"393,100",16% (Much faster than average),"61,200",https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm
Emergency Room RN,0.1,0.4,0.3,0.2,0,Associates,62,0.5,125620,Bachelor's degree,"105,700",6% (Faster than average),"6,000",https://www.bls.gov/ooh/management/public-relations-managers.htm
Emergency Services Director,0.3,0.2,0.25,0.15,0.1,Bachelors,92,0.5,61190,Bachelor's degree,"124,000",5% (Faster than average),"6,500",https://www.bls.gov/ooh/business-and-financial/fundraisers.htm
Emergency Services Program Coordinator,0.3,0.2,0.25,0.15,0.1,Bachelors,92,0.5,,No formal educational credential,"173,500",1% (Little or no change),"2,100",https://www.bls.gov/ooh/entertainment-and-sports/musicians-and-singers.htm
Emergency Telecommunications Dispatcher,0.4,0.4,0.1,0.1,0,Highschool,92,0.8,32780,No formal educational credential,"218,800",5% (Faster than average),"10,800",https://www.bls.gov/ooh/production/bakers.htm
Employee Benefits Coordinator,0.4,0.3,0.1,0.2,0,Bachelors,52,0.7,36190,See How to Become One,"269,200",6% (Faster than average),"16,400",https://www.bls.gov/ooh/production/food-and-tobacco-processing-workers.htm
Employee Benefits Director,0.4,0.2,0.2,0.1,0.1,Masters,52,0.6,36190,See How to Become One,"269,200",6% (Faster than average),"16,400",https://www.bls.gov/ooh/production/food-and-tobacco-processing-workers.htm
Employee Benefits Manager,0.7,0.2,0.4,0.5,0.6,Bachelors,52,0.375,60400,Associate's degree,"197,300",-2% (Decline),"-4,300",https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm
Employee Benefits Specialist,0.4,0.3,0.2,0.1,0.05,Bachelors,52,0.6666666667,58350,High school diploma or equivalent,"234,800",6% (Faster than average),"13,000",https://www.bls.gov/ooh/installation-maintenance-and-repair/heavy-vehicle-and-mobile-equipment-service-technicians.htm
Employee Development Director,0.4,0.2,0.2,0.2,0.5,Masters,54,0.4,51330,Bachelor's degree,"16,800",4% (As fast as average),600,https://www.bls.gov/ooh/healthcare/recreational-therapists.htm
Employee Development Manager,0.4,0.2,0.2,0.6,0.4,Masters,54,0.3333333333,,"Some college, no degree","78,100",3% (As fast as average),"2,500",https://www.bls.gov/ooh/entertainment-and-sports/actors.htm
Employee Development Specialist,0.4,0.1,0.3,0.2,0.1,Bachelors,61,0.4545454545,60400,Associate's degree,"197,300",-2% (Decline),"-4,300",https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm
Employee Placement Specialist,0.4,0.3,0.2,0.7,0.2,Bachelors,56,0.3888888889,41730,See How to Become One,"879,500",4% (As fast as average),"31,700",https://www.bls.gov/ooh/transportation-and-material-moving/material-moving-machine-operators.htm
Employee Relations Manager,0.4,0.2,0.2,0.6,0.4,Bachelors,54,0.3333333333,41730,See How to Become One,"879,500",4% (As fast as average),"31,700",https://www.bls.gov/ooh/transportation-and-material-moving/material-moving-machine-operators.htm
Employee Relations Specialist,0.3,0.2,0.25,0.5,0.1,Bachelors,54,0.3703703704,41730,See How to Become One,"879,500",4% (As fast as average),"31,700",https://www.bls.gov/ooh/transportation-and-material-moving/material-moving-machine-operators.htm
Employment Clerk,0.4,0.4,0.1,0.1,0,Highschool,56,0.8,41730,See How to Become One,"879,500",4% (As fast as average),"31,700",https://www.bls.gov/ooh/transportation-and-material-moving/material-moving-machine-operators.htm
EMS Director,0.3,0.2,0.25,0.15,0.1,Bachelors,62,0.5,36010,High school diploma or equivalent,"20,400",10% (Much faster than average),"2,000",https://www.bls.gov/ooh/entertainment-and-sports/umpires-referees-and-other-sports-officials.htm
EMS Helicopter Pilot,0.1,0.4,0.3,0.1,0.1,Professional Certificate,62,0.5,76700,Bachelor's degree,"24,900",3% (As fast as average),800,https://www.bls.gov/ooh/arts-and-design/fashion-designers.htm
EMT-B,0.1,0.4,0.2,0.3,0,Professional Certificate,62,0.5,41060,See How to Become One,"1,048,200",-6% (Decline),"-67,200",https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm
EMT-I/85,0.1,0.4,0.2,0.3,0,Professional Certificate,62,0.5,29380,No formal educational credential,"641,300",3% (As fast as average),"21,300",https://www.bls.gov/ooh/food-preparation-and-serving/bartenders.htm
EMT-I/99,0.05,0.4,0.3,0.25,0,Professional Certificate,62,0.45,49710,Bachelor's degree,"388,200",18% (Much faster than average),"71,500",https://www.bls.gov/ooh/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm
EMT,0.1,0.4,0.3,0.2,0,Professional Certificate,62,0.5,55350,See How to Become One,"728,600",7% (Faster than average),"53,800",https://www.bls.gov/ooh/community-and-social-service/social-workers.htm
EMTs and paramedics,0.1,0.4,0.3,0.7,0.05,Associates,62,0.3225806452,49710,Bachelor's degree,"388,200",18% (Much faster than average),"71,500",https://www.bls.gov/ooh/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm
End-User Support Specialist,0.7,0.2,0.4,0.5,0.1,Associates,54,0.4736842105,132750,Doctoral or professional degree,"334,200",3% (As fast as average),"8,700",https://www.bls.gov/ooh/healthcare/pharmacists.htm
Endodontist,0.1,0.4,0.3,0.2,0,Doctorate,62,0.5,34960,See How to Become One,"7,099,400",5% (Faster than average),"353,400",https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm
Endoscopy Registered Nurse,0.15,0.4,0.25,0.2,0,Bachelors,62,0.55,39520,See How to Become One,"1,624,800",4% (As fast as average),"57,900",https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm
Engine Builder,0.05,0.6,0.2,0.1,0.05,Professional Certificate,33,0.65,51160,No formal educational credential,"134,500",1% (Little or no change),"1,400",https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm
Engine Designer,0.3,0.2,0.4,0.05,0.05,Bachelors,33,0.5,51160,No formal educational credential,"134,500",1% (Little or no change),"1,400",https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm
"Engineer, Photogrammetric",0.7,0.1,0.15,0.05,0,Bachelors,54,0.8,51160,No formal educational credential,"134,500",1% (Little or no change),"1,400",https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm
Engineering Design Manager,0.4,0.1,0.3,0.1,0.1,Bachelors,54,0.5,39520,See How to Become One,"1,624,800",4% (As fast as average),"57,900",https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm
Engineering Manager,0.4,0.1,0.25,0.15,0.1,Masters,54,0.5,51160,No formal educational credential,"134,500",1% (Little or no change),"1,400",https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm
Engineering Psychologist,0.4,0.1,0.4,0.1,0,PhD,54,0.5,51160,No formal educational credential,"134,500",1% (Little or no change),"1,400",https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm
Engineering Research Manager,0.4,0.1,0.3,0.1,0.1,PhD,54,0.5,51160,No formal educational credential,"134,500",1% (Little or no change),"1,400",https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm
Engineering Supplies Sales,0.3,0.4,0.1,0.15,0.05,Associates,42,0.7,39520,See How to Become One,"1,624,800",4% (As fast as average),"57,900",https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm
Engineering Writer,0.7,0.1,0.6,0.2,0.1,Bachelors,54,0.4705882353,51160,No formal educational credential,"134,500",1% (Little or no change),"1,400",https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm
Engine Hostler,0.05,0.7,0.1,0.1,0.05,Highschool,48,0.75,39520,See How to Become One,"1,624,800",4% (As fast as average),"57,900",https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm
Engine Lathe Operator,0.1,0.7,0.1,0.05,0.05,Highschool,31,0.8,51160,No formal educational credential,"134,500",1% (Little or no change),"1,400",https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm
English Horn Player,0.05,0.3,0.5,0.15,0,Bachelors,71,0.35,47910,Associate's degree,"8,500",-13% (Decline),"-1,100",https://www.bls.gov/ooh/office-and-administrative-support/desktop-publishers.htm
Enologist,0.2,0.3,0.3,0.1,0.1,Bachelors,31,0.5,53960,See How to Become One,"142,800",2% (As fast as average),"2,500",https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm
Enroute Controller,0.3,0.4,0.2,0.1,0,Associates,48,0.7,36190,See How to Become One,"269,200",6% (Faster than average),"16,400",https://www.bls.gov/ooh/production/food-and-tobacco-processing-workers.htm
Enterprise Systems Engineer,0.7,0.1,0.1,0.05,0.05,Bachelors,54,0.8,49920,Postsecondary nondegree award,"2,192,300",4% (As fast as average),"89,300",https://www.bls.gov/ooh/transportation-and-material-moving/heavy-and-tractor-trailer-truck-drivers.htm
Entertainment and recreation managers,0.2,0.3,0.2,0.2,0.1,Bachelors,71,0.5,57860,Associate's degree,"66,400",13% (Much faster than average),"8,800",https://www.bls.gov/ooh/installation-maintenance-and-repair/medical-equipment-repairers.htm
Entomologist,0.2,0.3,0.4,0.05,0.05,PhD,11,0.5,64190,See How to Become One,"113,300",-2% (Decline),"-2,100",https://www.bls.gov/ooh/installation-maintenance-and-repair/electrical-and-electronics-installers-and-repairers.htm
Environmental Analyst,0.4,0.2,0.3,0.1,0.05,Bachelors,54,0.5714285714,130600,Bachelor's degree,"554,700",4% (As fast as average),"22,500",https://www.bls.gov/ooh/management/sales-managers.htm
Environmental Attorney,0.3,0.2,0.3,0.15,0.05,Professional Certificate,54,0.5,120000,Bachelor's degree,"41,300",6% (Faster than average),"2,700",https://www.bls.gov/ooh/management/training-and-development-managers.htm
Environmental Communications Specialist,0.6,0.2,0.5,0.4,0.1,Bachelors,54,0.4444444444,120000,Bachelor's degree,"41,300",6% (Faster than average),"2,700",https://www.bls.gov/ooh/management/training-and-development-managers.htm
Environmental Conservation Professor,0.2,0.1,0.4,0.2,0.1,PhD,61,0.3,62950,Bachelor's degree,"498,400",0% (Little or no change),"2,200",https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm
Environmental Economist,0.4,0.2,0.3,0.1,0.1,Masters,54,0.5454545455,62950,Bachelor's degree,"498,400",0% (Little or no change),"2,200",https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm
Environmental Engineering Technologist,0.3,0.2,0.3,0.1,0.1,Bachelors,54,0.5,62950,Bachelor's degree,"498,400",0% (Little or no change),"2,200",https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm
Environmental engineering technologists and technicians,0.3,0.4,0.2,0.1,0.05,Associates,54,0.6666666667,35330,Associate's degree,"512,300",3% (As fast as average),"17,200",https://www.bls.gov/ooh/education-training-and-library/preschool-teachers.htm
Environmental engineers,0.3,0.2,0.3,0.1,0.1,Bachelors,54,0.5,35330,Associate's degree,"512,300",3% (As fast as average),"17,200",https://www.bls.gov/ooh/education-training-and-library/preschool-teachers.htm
Environmental Epidemiologist,0.4,0.2,0.3,0.1,0.1,Masters,62,0.5454545455,49690,Bachelor's degree,"74,800",-3% (Decline),"-2,200",https://www.bls.gov/ooh/management/preschool-and-childcare-center-directors.htm
