Job Title,Digital Work,Routine Work,Cognitive/ Innovation Work,Interpersonal Work,Management Work,Education Level,2 Digit NAICS Industy
Criminal Justice Professor,20%,10%,40%,30%,10%,PhD,61
Criminal Justice Social Worker,20%,30%,25%,60%,10%,Masters,92
Criminal Law Professor,20%,10%,50%,20%,10%,Doctorate,61
Criminologist,30%,20%,40%,10%,5%,Masters,92
Criminology Professor,30%,20%,30%,15%,5%,PhD,61
Crimping Machine Operator for Metal,5%,70%,10%,5%,10%,Highschool,33
Critical Care Physician,10%,20%,40%,20%,10%,Doctorate,62
Crop Nutrition Scientist,20%,20%,40%,10%,10%,PhD,11
Crop Picker,0%,90%,5%,5%,0%,None,11
Crop Scout,10%,40%,30%,10%,10%,Associates,11
Crown and Bridge Dental Lab Technician,40%,40%,10%,5%,5%,Professional Certificate,62
Crown and Bridge Technician,30%,50%,10%,5%,5%,Professional Certificate,62
Crown Ceramist,20%,40%,30%,10%,0%,Professional Certificate,62
CRT,30%,40%,20%,10%,0%,Highschool,62
Crude Tester,10%,60%,20%,5%,5%,Associates,21
Cryptanalyst,80%,20%,70%,10%,5%,Masters,54
Cryptographer,90%,10%,80%,10%,5%,PhD,54
Cryptographic Vulnerability Analyst,80%,10%,70%,20%,10%,Masters,54
Crystallographer,40%,20%,30%,5%,5%,PhD,54
CTRS,20%,30%,25%,25%,0%,Bachelors,62
Cue Selector,70%,20%,10%,0%,0%,Highschool,51
Cultural Anthropology Professor,20%,10%,50%,20%,10%,PhD,61
Curbstone Setter,5%,70%,10%,10%,5%,Highschool,23
Curriculum and Assessment Director,40%,20%,30%,40%,30%,Masters,61
Curriculum and Instruction Director,40%,20%,30%,60%,50%,Masters,61
Curriculum Coordinator,40%,20%,20%,10%,10%,Masters,61
Curriculum Designer,40%,20%,30%,10%,0%,Masters,61
Curriculum Specialist,40%,20%,30%,10%,10%,Masters,61
Curve Saw Operator,5%,70%,10%,5%,10%,Highschool,31
Custodial Worker,5%,80%,5%,10%,0%,None,56
Custodian,5%,80%,5%,10%,0%,Highschool,56
Customer Complaint Clerk,40%,40%,10%,70%,5%,Highschool,56
Customer Contact Specialist,40%,30%,10%,20%,0%,Highschool,56
Customer Relations Representative,40%,30%,10%,20%,0%,Highschool,54
Customer Service Correspondence Clerk,60%,30%,5%,40%,5%,Highschool,56
Customer service representatives,40%,40%,10%,70%,5%,Highschool,56
Customer Support Representative,70%,60%,20%,80%,10%,Highschool,54
Custom Furrier,10%,40%,30%,20%,10%,Professional Certificate,31
Custom Harvester,5%,70%,10%,10%,5%,Highschool,11
Customs Appraiser,40%,40%,10%,10%,0%,Bachelors,48
Custom Wood Stair Builder,5%,60%,25%,5%,5%,Professional Certificate,23
Cut File Clerk,40%,50%,5%,5%,0%,Highschool,51
Cut Off Saw Operator,5%,70%,10%,5%,10%,Highschool,33
Cutting Torch Operator,5%,70%,15%,10%,0%,Highschool,23
Cytogenetic Technologist,30%,40%,20%,5%,5%,Bachelors,62
Cytologist,30%,40%,20%,10%,0%,Bachelors,62
Cytotechnologist,30%,40%,20%,5%,5%,Bachelors,62
Dairy Bacteriologist,20%,40%,30%,10%,0%,Bachelors,11
Dairy Equipment Mechanic,10%,60%,20%,5%,5%,Professional Certificate,31
Dairy Equipment Repairer,10%,60%,20%,5%,5%,Professional Certificate,31
Dairy Farm Manager,20%,40%,20%,10%,10%,Associates,11
Dairy Husbandry Worker,5%,70%,10%,10%,5%,Highschool,11
Dairy Scientist,20%,30%,30%,10%,10%,PhD,11
Dance Artist,10%,30%,40%,20%,0%,Professional Certificate,71
Dance Costume Designer,20%,30%,40%,10%,0%,Associates,71
Dance Director,10%,20%,30%,30%,10%,Bachelors,71
Dance Master,10%,30%,30%,30%,10%,Professional Certificate,71
Dancers and choreographers,5%,30%,50%,60%,5%,Associates,71
Data Analytics Specialist,80%,10%,70%,20%,10%,Masters,54
Data Architect,90%,10%,70%,20%,10%,Masters,54
Database Administration Manager,70%,20%,40%,30%,40%,Bachelors,54
Database administrators and architects,90%,40%,50%,20%,10%,Bachelors,54
Database Coordinator,80%,50%,40%,20%,10%,Bachelors,54
Database Developer,90%,40%,50%,10%,5%,Bachelors,54
Database Programmer,90%,40%,50%,10%,5%,Bachelors,54
Database Security Administrator,90%,40%,40%,20%,10%,Bachelors,54
Data Integration Specialist,80%,40%,50%,20%,10%,Bachelors,54
Data Mining Analyst,90%,30%,60%,10%,10%,Masters,54
Data Operations Director,70%,10%,10%,5%,5%,Masters,54
Data Processing Manager,70%,60%,40%,20%,50%,Bachelors,54
Data Processing Systems Analyst,80%,10%,70%,20%,10%,Bachelors,54
Data scientists,70%,10%,15%,5%,0%,Masters,54
Data Visualization Developer,90%,30%,60%,10%,5%,Bachelors,54
Data Warehousing Specialist,80%,10%,70%,20%,10%,Bachelors,54
Daycare Aide,10%,40%,20%,30%,0%,Highschool,62
Day Care Attendant,10%,40%,20%,30%,10%,Highschool,62
Daycare Provider,5%,60%,10%,25%,0%,Highschool,62
Day Care Worker,10%,60%,10%,20%,0%,Highschool,62
Deaf Interpreter,10%,30%,20%,40%,0%,Professional Certificate,62
Debt Collector,40%,40%,10%,10%,0%,Highschool,52
Deburring Machine Operator,10%,70%,10%,5%,5%,Highschool,33
Deck Cadet,10%,40%,20%,20%,10%,Professional Certificate,48
Deckhand,5%,70%,10%,10%,5%,Highschool,48
Deck Hand,5%,70%,10%,10%,5%,Highschool,48
Deck Officer,20%,40%,20%,10%,10%,Professional Certificate,48
Decontamination Worker,10%,70%,10%,10%,0%,Highschool,56
Deejay,40%,30%,20%,10%,0%,Professional Certificate,71
Deep Tissue Massage Therapist,5%,40%,20%,35%,0%,Professional Certificate,81
Deer Hunter,5%,60%,20%,10%,5%,Highschool,11
Defense Attorney,30%,20%,30%,20%,10%,Doctorate,54
Deli Clerk,10%,70%,5%,15%,0%,Highschool,44
Delimber Operator,5%,70%,10%,5%,10%,Highschool,11
Deli Slicer,5%,70%,5%,20%,0%,None,44
Delivery Sales worker,10%,60%,10%,15%,5%,Highschool,48
Delivery truck drivers and driver/sales workers,10%,70%,10%,40%,10%,Highschool,48
Dental Aide,10%,60%,10%,20%,0%,Professional Certificate,62
Dental and ophthalmic laboratory technicians and medical appliance technicians,20%,60%,15%,5%,0%,Associates,62
Dental assistants,20%,50%,10%,20%,0%,Professional Certificate,62
Dental Ceramist,20%,50%,20%,5%,5%,Professional Certificate,62
Dental Equipment Mechanic,10%,60%,20%,5%,5%,Professional Certificate,62
Dental Equipment Repairer,10%,60%,20%,10%,0%,Professional Certificate,62
Dental hygienists,20%,50%,10%,20%,0%,Associates,62
Dental Laboratory Worker,10%,60%,20%,5%,5%,Professional Certificate,33
Dental Mold Maker,10%,60%,20%,5%,5%,Professional Certificate,32
Dental Receptionist,40%,40%,10%,70%,10%,Highschool,62
Dental Secretary,40%,40%,10%,70%,10%,Associates,62
Dental Surgeon,10%,40%,30%,15%,5%,Doctorate,62
Dental Technician,20%,60%,10%,5%,5%,Professional Certificate,62
Dentistry Professor,20%,20%,40%,20%,10%,Doctorate,61
Dentists,10%,40%,30%,15%,5%,Doctorate,62
Dentofacial Orthopedics Dentist,20%,30%,25%,20%,5%,Doctorate,62
Department Store General Manager,30%,20%,20%,20%,10%,Bachelors,45
Department Store Manager,30%,40%,20%,60%,50%,Associates,45
Department Store Salesperson,10%,60%,10%,20%,0%,Highschool,45
Deposition Reporter,30%,50%,10%,10%,0%,Professional Certificate,54
Deputy Attorney General,30%,10%,40%,10%,10%,Doctorate,92
Deputy Bailiff,10%,40%,20%,20%,10%,Highschool,92
Deputy Chief Counsel,30%,10%,40%,10%,10%,Professional Certificate,54
Deputy Court Clerk,40%,40%,10%,10%,0%,Associates,92
Deputy Sheriff,20%,40%,20%,20%,10%,Highschool,92
Deputy United States Marshal,20%,40%,20%,15%,5%,Bachelors,92
Dermatology Nurse Practitioner,20%,30%,25%,25%,0%,Masters,62
Dermatopathologist,20%,30%,40%,5%,5%,Doctorate,62
Design Project Management Specialists,60%,20%,70%,50%,60%,Bachelors,54
Desk Reporter,70%,20%,40%,30%,10%,Bachelors,51
Desktop publishers,90%,60%,30%,10%,5%,Associates,51
Desktop Publishing Specialist,90%,50%,40%,10%,5%,Associates,51
Detention Deputy,10%,60%,10%,20%,5%,Highschool,92
Detention Officer,10%,60%,10%,20%,10%,Highschool,92
Developmental Psychologist,20%,10%,40%,20%,10%,PhD,62
Development Geologist,40%,20%,30%,10%,0%,Masters,21
Diabetes Educator,20%,30%,25%,25%,0%,Professional Certificate,62
Diagnostic medical sonographers and cardiovascular technologists and technicians,40%,40%,10%,10%,0%,Associates,62
Diagnostic Radiologist,40%,30%,20%,10%,0%,Doctorate,62
Dialysis Engineer,30%,40%,20%,5%,5%,Bachelors,62
Diamond Grader,10%,60%,20%,10%,0%,Professional Certificate,45
Diamond Polisher,5%,70%,20%,5%,0%,Professional Certificate,31
Diamond Setter,5%,60%,25%,10%,0%,Professional Certificate,33
Die Designer,40%,30%,20%,5%,5%,Associates,33
Diesel Engine Fitter,10%,60%,20%,5%,5%,Professional Certificate,81
Diesel Locomotive Firer,5%,70%,10%,10%,5%,Highschool,48
Diesel Pile Hammer Operator,5%,70%,10%,10%,5%,Highschool,23
Diesel Service Technician,10%,60%,20%,5%,5%,Professional Certificate,81
Diesel service technicians and mechanics,10%,60%,20%,5%,5%,Professional Certificate,81
Dietitian,30%,40%,20%,70%,10%,Bachelors,62
Dietitians and nutritionists,30%,20%,30%,20%,5%,Bachelors,62
Digital Archivist,80%,40%,40%,20%,10%,Masters,51
Digital Cartographer,80%,40%,40%,10%,5%,Bachelors,54
Digital Designer,90%,30%,50%,20%,10%,Bachelors,54
Digital Watch Assembler,30%,60%,5%,5%,0%,Highschool,33
Dimmer Board Operator,70%,60%,20%,10%,5%,Highschool,71
Dining Car Server,5%,70%,5%,20%,0%,Highschool,72
Dining Room Host/Hostess,5%,60%,10%,25%,0%,Highschool,72
Dining Room Host,5%,60%,10%,25%,0%,Highschool,72
Dinkey Driver,5%,80%,5%,10%,0%,Highschool,21
Dinkey Engine Firer,5%,70%,10%,10%,5%,Highschool,48
Dinkey Operator,5%,80%,5%,10%,0%,Highschool,21
Diplomatic Interpreter,20%,20%,40%,20%,0%,Masters,54
Director of Civil Defense,30%,10%,30%,20%,10%,Masters,92
Director of Strategic Sourcing,40%,10%,30%,10%,10%,Masters,54
Director of Student Services,30%,20%,25%,40%,40%,Masters,61
Director of University Housing,30%,20%,25%,15%,10%,Masters,61
Disaster Medicine Physician,20%,20%,30%,20%,10%,Doctorate,62
Disaster Response Director,30%,20%,25%,15%,10%,Masters,92
Discotheque Dancer,5%,70%,10%,15%,0%,None,71
Disc Recordist,70%,20%,5%,5%,0%,Associates,51
Dispensing Audiologist,20%,30%,25%,25%,0%,Doctorate,62
Display Advertising Sales Representative,70%,20%,40%,60%,20%,Bachelors,51
District Attorney,20%,20%,40%,20%,20%,Doctorate,92
District Court Judge,20%,20%,40%,15%,5%,Doctorate,92
District Sales Manager,30%,20%,20%,20%,10%,Bachelors,44
Ditching Machine Operating Engineer,5%,70%,10%,10%,5%,Highschool,23
Dividend Clerk,70%,20%,5%,5%,0%,Associates,52
Diving Judge,5%,30%,40%,25%,0%,Professional Certificate,71
Divinity Professor,20%,20%,40%,20%,10%,PhD,61
DJ,70%,20%,50%,60%,10%,Professional Certificate,71
DNAP,30%,20%,30%,10%,10%,Doctorate,62
Docket Clerk,60%,30%,5%,5%,0%,Associates,54
Docking Pilot,10%,40%,30%,20%,0%,Professional Certificate,48
Doctor of Nurse Anesthesia Practice,20%,30%,30%,20%,10%,Doctorate,62
Doctor of Optometry,20%,30%,30%,20%,5%,Doctorate,62
Doctor of Podiatric Medicine,10%,30%,40%,20%,5%,Doctorate,62
Doctor of Veterinary Medicine (DVM),20%,30%,30%,20%,10%,Doctorate,54
Doctor of Veterinary Medicine,20%,30%,30%,20%,10%,Doctorate,54
Documentation Writer,80%,40%,40%,20%,10%,Bachelors,51
Document Clerk,70%,80%,10%,20%,5%,Highschool,56
Doffer,5%,80%,5%,5%,5%,None,31
Dog Bather,5%,80%,5%,10%,0%,None,81
Dog Beautician,5%,70%,10%,15%,0%,Professional Certificate,81
Dog Breeder,5%,60%,10%,20%,5%,None,11
Dog Groomer,5%,70%,10%,15%,0%,Professional Certificate,81
Dog Handler,5%,60%,10%,25%,0%,Highschool,81
Dog Licenser,30%,40%,10%,20%,0%,Highschool,92
Dog Sitter,5%,70%,10%,15%,0%,None,81
Dog Trainer,10%,40%,30%,20%,0%,Professional Certificate,81
Doll Maker,5%,60%,20%,10%,5%,Highschool,33
Dolphin Trainer,10%,40%,20%,30%,10%,Associates,71
Donor Relations Manager,40%,20%,20%,20%,10%,Bachelors,81
Donor Relations Officer,30%,20%,25%,25%,10%,Bachelors,81
Double Bass Player,5%,40%,40%,15%,0%,Professional Certificate,71
Dough Maker,5%,80%,5%,10%,0%,None,31
Doughnut Machine Operator,5%,80%,5%,5%,5%,None,31
Dough Scaler and Mixer,5%,80%,5%,10%,0%,None,31
Drafters,70%,20%,10%,10%,5%,Associates,54
Drafting Layout Worker,70%,20%,10%,5%,5%,Associates,23
Dragline Mechanic,10%,60%,20%,5%,5%,Professional Certificate,23
Drama Therapist,10%,20%,40%,30%,5%,Masters,62
Dramatic Reader,10%,30%,40%,20%,0%,Associates,71
Draughtsman,70%,50%,40%,20%,10%,Associates,54
Dredge Deckhand,5%,70%,10%,10%,5%,Highschool,23
Dredge Engineer,10%,40%,30%,10%,10%,Associates,23
Dredge Mate,10%,60%,10%,10%,10%,Highschool,23
Dredger,10%,70%,10%,10%,5%,Highschool,23
Dressage Judge,10%,30%,40%,20%,0%,Professional Certificate,71
Dress Designer,10%,30%,40%,15%,5%,Bachelors,31
Drill Press Operator for Metal,5%,70%,10%,5%,10%,Highschool,33
Drink Mixer,5%,70%,10%,15%,0%,None,72
Drug Abuse Counselor,10%,30%,40%,80%,10%,Masters,62
Drug Abuse Social Worker,20%,20%,30%,30%,10%,Masters,62
Drug Counselor,10%,30%,30%,30%,10%,Bachelors,62
Druggist,10%,40%,30%,15%,5%,Professional Certificate,44
Dryer Feeder,5%,80%,5%,5%,5%,Highschool,31
Dry Plasterer Helper,5%,70%,10%,10%,5%,None,23
Drywall Applicator,5%,70%,10%,10%,5%,Highschool,23
Drywall Finisher,5%,70%,15%,10%,0%,Highschool,23
Drywall Hanger,5%,70%,10%,15%,0%,Highschool,23
Drywall Hanger Helper,5%,70%,10%,15%,0%,None,23
Drywall Installer,5%,70%,15%,10%,5%,Highschool,23
"Drywall installers, ceiling tile installers, and tapers",5%,70%,15%,10%,5%,Highschool,23
Drywall Sander,5%,80%,10%,5%,0%,Highschool,23
Drywall Stripper,5%,80%,10%,5%,0%,None,23
Drywall Stripper Helper,5%,80%,5%,10%,0%,None,23
Drywall Taper,5%,70%,15%,10%,0%,Highschool,23
Drywall Taper Helper,5%,70%,10%,15%,0%,Highschool,23
Drywall Worker,5%,70%,10%,10%,5%,Highschool,23
DTP Operator,90%,70%,20%,10%,5%,Associates,51
Dub Room Engineer,70%,10%,10%,5%,5%,Associates,51
Dumpling Machine Operator,5%,80%,5%,5%,5%,Highschool,31
Dump Truck Driver,5%,70%,10%,10%,5%,Highschool,48
Durable Medical Equipment Repairer,20%,50%,20%,5%,5%,Professional Certificate,62
Dynamo Repairer,5%,60%,20%,10%,5%,Professional Certificate,81
E-Commerce Director,80%,10%,40%,30%,40%,Bachelors,45
E-Learning Manager,80%,10%,40%,30%,40%,Masters,61
Early Childhood Special Education Teacher,10%,30%,30%,30%,10%,Bachelors,61
Early Childhood Special Educator,10%,30%,30%,30%,10%,Masters,61
Early Childhood Teacher,10%,30%,20%,40%,10%,Associates,61
Early Head Start Director,30%,20%,25%,40%,40%,Bachelors,62
Earth Science Professor,30%,20%,40%,10%,10%,PhD,61
Eastern Philosophy Professor,20%,20%,40%,20%,10%,PhD,61
Eating Disorder Psychologists,10%,20%,40%,30%,5%,Doctorate,62
Echocardiogram Technician,30%,50%,10%,10%,0%,Associates,62
Echocardiographer,30%,40%,20%,10%,0%,Professional Certificate,62
Echocardiographic Technologist,30%,50%,10%,10%,0%,Professional Certificate,62
Echocardiography Technician,20%,50%,20%,10%,0%,Associates,62
Echocardiology Technologist,40%,30%,20%,10%,0%,Associates,62
Ecological Modeler,70%,10%,80%,20%,10%,PhD,54
Ecology Professor,20%,10%,40%,20%,10%,PhD,61
Econometrician,70%,10%,80%,20%,10%,PhD,54
Econometrics Professor,30%,10%,40%,15%,5%,PhD,61
Economic Development Specialist,40%,20%,30%,40%,20%,Masters,92
Economic Geographer,40%,20%,30%,10%,10%,PhD,54
Economic Research Analyst,70%,10%,80%,30%,10%,Masters,52
Economists,70%,20%,70%,40%,30%,PhD,52
Edge Trimmer Mechanic,5%,70%,10%,10%,5%,Highschool,81
Editorial Cartoonist,70%,20%,80%,30%,10%,Bachelors,51
Editors,40%,20%,30%,10%,10%,Bachelors,51
Educational Audiologist,20%,20%,30%,30%,10%,Masters,62
Educational Institution Curator,30%,20%,30%,10%,10%,Masters,61
Educational Psychologists,20%,20%,40%,60%,10%,PhD,61
Educational Psychology Professor,30%,10%,40%,20%,10%,PhD,61
Education Counselor,30%,20%,25%,40%,10%,Masters,61
Efficiency Engineer,40%,20%,30%,10%,20%,Bachelors,54
Egg Gatherer,5%,80%,5%,10%,0%,None,11
Egg Packer,5%,90%,5%,10%,0%,None,11
EKG Technician,30%,50%,10%,10%,0%,Professional Certificate,62
Elderly Companion,10%,40%,10%,40%,0%,Highschool,62
Election Clerk,40%,40%,10%,10%,0%,Highschool,92
Electo-Mechanical and Mechatronics Technologist,40%,30%,20%,5%,5%,Associates,33
Electrical and Electronic Engineering Technologist,60%,20%,15%,5%,0%,Associates,54
Electrical and electronic engineering technologists and technicians,40%,30%,20%,5%,5%,Associates,54
Electrical and electronics engineers,40%,20%,30%,5%,5%,Bachelors,54
Electrical and electronics installers and repairers,30%,50%,10%,5%,5%,Associates,23
Electrical Assembler,10%,60%,20%,5%,5%,Highschool,33
Electrical Computer Aided Design and Drafting Technician,70%,20%,10%,5%,5%,Associates,54
Electrical Controls Assembler,20%,50%,20%,5%,5%,Associates,33
Electrical Design Engineer,40%,20%,30%,5%,5%,Bachelors,54
Electrical Design Technician,60%,20%,15%,5%,0%,Associates,54
Electrical Drafter,70%,20%,10%,10%,5%,Associates,54
Electrical Engineering Director,40%,10%,30%,10%,10%,Masters,54
Electrical Engineering Professor,30%,10%,40%,15%,5%,PhD,61
Electrical Engineering Technician,40%,30%,20%,5%,5%,Associates,54
Electrical Estimator,40%,30%,20%,10%,10%,Associates,23
Electrical High Tension Tester,10%,40%,30%,10%,10%,Associates,22
Electrical Inspector,20%,40%,20%,10%,10%,Professional Certificate,23
Electrical Lineworker,10%,60%,20%,5%,5%,Professional Certificate,22
Electrical Maintenance Worker,20%,50%,20%,10%,0%,Associates,23
Electrical Parts Reconditioner,10%,60%,20%,5%,5%,Highschool,33
Electrical power-line installers and repairers,10%,60%,20%,10%,5%,Highschool,22
Electrical Power Station Technician,20%,40%,25%,10%,5%,Associates,22
Electrical Sign Wirer,10%,60%,20%,5%,5%,Professional Certificate,33
Electrical Sign Wirer Helper,5%,60%,20%,10%,5%,Highschool,23
Electrical Systems Drafter,70%,20%,10%,5%,5%,Associates,54
Electrical Systems Engineer,40%,20%,30%,5%,5%,Bachelors,54
Electrical Technology Instructor,30%,20%,25%,20%,5%,Professional Certificate,61
Electrical Timing Device Adjuster,10%,70%,10%,5%,5%,Highschool,33
Electric Arc Furnace Operator,10%,60%,20%,5%,5%,Highschool,33
Electric Crane Operator,10%,70%,10%,5%,5%,Highschool,53
Electric Golf Cart Repairers,10%,60%,20%,10%,0%,Professional Certificate,81
Electrician's Assistant,10%,60%,10%,15%,5%,Highschool,23
Electricians,10%,60%,20%,10%,5%,Professional Certificate,23
Electric Motor Controls Assembler,10%,60%,20%,5%,5%,Highschool,33
Electric Motor Fitter,10%,60%,20%,10%,0%,Highschool,33
Electric Motor Rewinder,10%,60%,20%,5%,5%,Professional Certificate,33
Electric Powerline Examiner,10%,40%,30%,10%,10%,Associates,22
Electric Sign Assembler,10%,60%,20%,5%,5%,Highschool,33
Electric Utility Lineworker,10%,60%,20%,10%,5%,Professional Certificate,22
Electric Wheelchair Repairer,10%,60%,20%,10%,0%,Professional Certificate,81
Electro-mechanical and mechatronics technologists and technicians,40%,30%,20%,5%,5%,Associates,33
Electrocardiogram Technician,30%,50%,10%,10%,0%,Professional Certificate,62
Electrocardiograph Operator,30%,50%,10%,10%,0%,Professional Certificate,62
Electrogalvanizing Machine Operator,10%,70%,10%,5%,5%,Highschool,33
Electrolysis Needle Operator,10%,70%,10%,10%,0%,Professional Certificate,81
Electrolysis Operator,10%,60%,20%,5%,5%,Highschool,32
Electrolysist,10%,60%,20%,5%,5%,Professional Certificate,81
Electromechanical Assembler,20%,60%,10%,5%,5%,Highschool,33
Electromedical Equipment Technician,30%,40%,20%,5%,5%,Associates,62
Electron Beam Welder Setter,10%,60%,20%,5%,5%,Professional Certificate,33
Electronic Assembler,20%,60%,10%,5%,5%,Highschool,33
Electronic Console Display Operator,80%,60%,20%,10%,5%,Associates,51
Electronic Design Automation Engineer,80%,10%,70%,20%,10%,Masters,54
Electronic Drafter,90%,60%,30%,10%,5%,Associates,54
Electronic Engineer,70%,20%,60%,30%,20%,Bachelors,54
Electronic Gambling Device Supervisor,40%,30%,10%,10%,10%,Associates,71
Electronic Imager,80%,10%,5%,2%,3%,Associates,51
Electronic Instrument Testing Technician,40%,30%,20%,5%,5%,Associates,54
Electronic News Gathering Camera Operator,40%,30%,20%,10%,0%,Associates,51
Electronic News Gathering Editor,70%,10%,10%,5%,5%,Bachelors,51
Electronic Pagination System Operator,90%,70%,20%,10%,5%,Associates,51
Electronic Parts Designer,70%,10%,15%,2%,3%,Bachelors,33
Electronic Parts Salesperson,30%,40%,10%,20%,0%,Highschool,44
Electronic Publisher,80%,10%,40%,20%,10%,Bachelors,51
Electronic Publishing Specialist,80%,40%,40%,20%,10%,Bachelors,51
Electronic Resources Librarian,70%,10%,10%,5%,5%,Masters,51
Electronics Engineering Professor,30%,10%,40%,15%,5%,PhD,61
Electronic Sensing Equipment Assembler,30%,50%,10%,5%,5%,Highschool,33
Electronics Technology Instructor,40%,20%,20%,15%,5%,Bachelors,61
Electronic Wirer,10%,70%,10%,5%,5%,Highschool,33
Electrophysiology Cardiologist,20%,20%,40%,20%,0%,Doctorate,62
Electrophysiology Nurse Practitioner,20%,30%,30%,20%,0%,Professional Certificate,62
Electroplater,10%,60%,20%,5%,5%,Highschool,33
Electro Plater,10%,60%,20%,5%,5%,Highschool,33
Electroplating Sales Representative,20%,30%,20%,25%,5%,Bachelors,33
Electrostatic Paint Operator,5%,70%,10%,5%,10%,Highschool,33
"Elementary, middle, and high school principals",30%,20%,25%,40%,60%,Masters,61
Elementary Learning Support Aide,10%,40%,20%,30%,0%,Associates,61
Elementary School Inclusion Teacher,10%,30%,30%,30%,10%,Bachelors,61
Elementary School Music Teacher,10%,40%,20%,30%,0%,Bachelors,61
Elementary School Principal,30%,20%,25%,40%,60%,Masters,61
Elementary School Reading Aide,10%,40%,30%,20%,0%,Associates,61
Elementary School Teacher,20%,30%,25%,20%,5%,Bachelors,61
Elevator Adjuster,10%,40%,30%,10%,10%,Professional Certificate,23
Elevator and escalator installers and repairers,10%,60%,20%,10%,5%,Professional Certificate,23
Elevator Constructor,5%,60%,20%,10%,5%,Professional Certificate,23
Elevator Inspector,20%,40%,30%,10%,0%,Professional Certificate,81
Elevator Installer,5%,60%,20%,10%,5%,Professional Certificate,23
Elevator Mechanic,10%,60%,20%,5%,5%,Professional Certificate,23
Elevator Repair and Maintenance Technician,10%,60%,20%,5%,5%,Professional Certificate,81
Elevator Service Technician,10%,60%,20%,10%,0%,Professional Certificate,81
Elocutionist,10%,20%,40%,30%,0%,Bachelors,61
Embedded Systems Software Developer,90%,30%,60%,10%,5%,Bachelors,54
Embryology Professor,20%,10%,50%,15%,5%,PhD,61
Emergency Communications Dispatcher,40%,30%,20%,10%,0%,Highschool,92
Emergency Communications Operator,40%,30%,10%,20%,0%,Highschool,92
Emergency management directors,30%,20%,30%,20%,70%,Bachelors,92
Emergency Management System Director,30%,10%,30%,20%,10%,Masters,92
Emergency Medical Service Coordinator,20%,30%,20%,20%,10%,Associates,62
Emergency Medical Service Helicopter Pilot,10%,40%,30%,20%,0%,Professional Certificate,62
Emergency Medical Service Rotary Wing Pilot,10%,40%,30%,20%,0%,Professional Certificate,62
Emergency Medicine Nurse Practitioner,20%,30%,30%,20%,0%,Masters,62
Emergency Medicine Specialist,10%,30%,40%,20%,5%,Doctorate,62
Emergency Operator,30%,40%,10%,20%,0%,Highschool,92
Emergency Planner,30%,20%,30%,15%,5%,Bachelors,92
Emergency Planning and Response Manager,40%,20%,30%,60%,50%,Bachelors,92
Emergency Preparedness Coordinator,40%,20%,20%,20%,30%,Bachelors,92
Emergency Room Orderly,10%,60%,10%,20%,0%,Highschool,62
Emergency Room RN,10%,40%,30%,20%,0%,Associates,62
Emergency Services Director,30%,20%,25%,15%,10%,Bachelors,92
Emergency Services Program Coordinator,30%,20%,25%,15%,10%,Bachelors,92
Emergency Telecommunications Dispatcher,40%,40%,10%,10%,0%,Highschool,92
Employee Benefits Coordinator,40%,30%,10%,20%,0%,Bachelors,52
Employee Benefits Director,40%,20%,20%,10%,10%,Masters,52
Employee Benefits Manager,70%,20%,40%,50%,60%,Bachelors,52
Employee Benefits Specialist,40%,30%,20%,10%,5%,Bachelors,52
Employee Development Director,40%,20%,20%,20%,50%,Masters,54
Employee Development Manager,40%,20%,20%,60%,40%,Masters,54
Employee Development Specialist,40%,10%,30%,20%,10%,Bachelors,61
Employee Placement Specialist,40%,30%,20%,70%,20%,Bachelors,56
Employee Relations Manager,40%,20%,20%,60%,40%,Bachelors,54
Employee Relations Specialist,30%,20%,25%,50%,10%,Bachelors,54
Employment Clerk,40%,40%,10%,10%,0%,Highschool,56
EMS Director,30%,20%,25%,15%,10%,Bachelors,62
EMS Helicopter Pilot,10%,40%,30%,10%,10%,Professional Certificate,62
EMT-B,10%,40%,20%,30%,0%,Professional Certificate,62
EMT-I/85,10%,40%,20%,30%,0%,Professional Certificate,62
EMT-I/99,5%,40%,30%,25%,0%,Professional Certificate,62
EMT,10%,40%,30%,20%,0%,Professional Certificate,62
EMTs and paramedics,10%,40%,30%,70%,5%,Associates,62
End-User Support Specialist,70%,20%,40%,50%,10%,Associates,54
Endodontist,10%,40%,30%,20%,0%,Doctorate,62
Endoscopy Registered Nurse,15%,40%,25%,20%,0%,Bachelors,62
Engine Builder,5%,60%,20%,10%,5%,Professional Certificate,33
Engine Designer,30%,20%,40%,5%,5%,Bachelors,33
"Engineer, Photogrammetric",70%,10%,15%,5%,0%,Bachelors,54
Engineering Design Manager,40%,10%,30%,10%,10%,Bachelors,54
Engineering Manager,40%,10%,25%,15%,10%,Masters,54
Engineering Psychologist,40%,10%,40%,10%,0%,PhD,54
Engineering Research Manager,40%,10%,30%,10%,10%,PhD,54
Engineering Supplies Sales,30%,40%,10%,15%,5%,Associates,42
Engineering Writer,70%,10%,60%,20%,10%,Bachelors,54
Engine Hostler,5%,70%,10%,10%,5%,Highschool,48
Engine Lathe Operator,10%,70%,10%,5%,5%,Highschool,31
English Horn Player,5%,30%,50%,15%,0%,Bachelors,71
Enologist,20%,30%,30%,10%,10%,Bachelors,31
Enroute Controller,30%,40%,20%,10%,0%,Associates,48
Enterprise Systems Engineer,70%,10%,10%,5%,5%,Bachelors,54
Entertainment and recreation managers,20%,30%,20%,20%,10%,Bachelors,71
